"Username","Category","ItemName","Colour","Material"
"Emily","Clothing"," T-shirt","black","cotton"
"Emily","Clothing","jean","black","polyster"
"Emily","Clothing","formal pant","brown","silk"
"rani","Clothing","kurthi","white","polyster"
"rani","Clothing","jean","blue","cotton"
"rani","Clothing","jean ","black","cotton"
"rani","Clothing","t-shirt","yellow","silk"
"rani","Clothing","saree","red","silk"
"rani","Clothing","lehenga","pink","polyster"
"rani","Clothing","kurthi","pink","cotton"
"rani","Clothing","kurthi","baby pink","cotton"
"rani","Clothing","chudidhar","white","silk"
"suchi","Clothing","kurthi","pink","cotton"
"suchi","Clothing","baggy jean","light blue","cotton"
"suchi","Clothing","kurthi","dark blue","cotton"
"lily","Clothing","t-shirt","white","cotton"
"lily","Clothing","jean","blue","cotton"
