Occasion,Formality,PreferredColour,ClothingType,Material,Footwear,Jewelry
College Celebration,Semi-Formal,Bright/Festive,"Kurta or shirt with jeans/pants",Cotton or Silk blend,Sneakers or Sandals,Watch and simple earrings
Family Function,Formal,Traditional/Bright,"Saree/Salwar or Shirt with formal pants",Silk or Cotton,Sandals or Formal Shoes,"Necklace, bangles and earrings"
Family Formal Meeting,Formal,Neutral/Muted,"Shirt with formal pants or Salwar",Cotton or Linen,Formal Shoes or Sandals,Watch and small earrings
School Celebration,Semi-Formal,Bright,"Kurta or shirt with pants",Cotton,Sandals or Sneakers,Minimal - watch only
Office Function,Formal,Neutral/Pastel,"Blazer with formal shirt and pants or Saree",Cotton or Polyester blend,Formal Shoes,Watch and stud earrings
Funeral,Formal,White/Black/Muted,"Plain shirt with pants or plain saree/salwar",Cotton,Simple Sandals or Formal Shoes,No jewelry or minimal only
Coffee Shop,Casual,Any comfortable colour,"T-shirt with jeans",Cotton,Sneakers,Watch or bracelet
Friends Meetup,Casual,Bright/Trendy,"T-shirt or casual top with jeans",Cotton or Denim,Sneakers,Bracelet and earrings
Dating,Semi-Formal,Flattering/Elegant,"Nice shirt or dress with jeans/skirt",Cotton or Silk blend,Sneakers or Heels,Necklace and earrings
Court Visit,Formal,Neutral/Dark,"Formal shirt with formal pants or Saree",Cotton or Linen,Formal Shoes,Watch only
Police Station Visit,Formal,Neutral/Dark,"Plain shirt with formal pants",Cotton,Formal Shoes or Sandals,Watch only
Parents Teachers Meeting,Semi-Formal,Neutral/Modest,"Shirt with pants or Salwar",Cotton,Sandals or Formal Shoes,Watch and small earrings
Shopping,Casual,Any comfortable colour,"T-shirt or top with jeans",Cotton,Sneakers or Sandals,Watch and bracelet
Trip/Travel,Casual,Comfortable/Neutral,"T-shirt with track pants or jeans",Cotton or Blended,Sneakers or Sandals,Minimal - watch only
Regular Day,Semi-Formal,Neutral/Any comfortable colour,"Shirt or T-shirt with jeans/formal pants",Cotton or Denim,Sneakers or Sandals,Watch only
